archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include,archive_id
1050,NA,Saltwater Aquarium,Horticultural Gardens,Parc,Architecture Interior,Getty Foundation,Confident,-365.1349831,-61.85536504,Aquarium,TRUE,1050
1073,215,Cannon Krupp Right View,Prussian Section,Palais,Military,Bibliotheque National de France,approximate,-177.6337131,20.7387096,alt view 1073 5,TRUE,1073
1088,382,Red Cross building,French Park,Parc,Architecture,Bibliotheque National de France,Confident,457.7768982,-167.5053819,,TRUE,1088
1110,8140,Awards Ceremony Hall,Palais de l'Industrie (External Venue),Palais de l'Industrie (External Venue),Architecture Interior Awards,Roger Viollet,Offsite,556.1495546,-0.772812368,Awards,TRUE,1110
1111,8094,Industrial Machines,French Section,Palais,Machines,Roger Viollet,Confident,-133.4995284,-130.3322626,,TRUE,1111
1112,NA,Stereoscope and Photography Room,Prussian Section,Palais,Photography Stereoviewer,Roger Viollet,approximate,-131.4307096,46.24055841,Duplicate of 436,TRUE,1112
1113,8201,Great Austrian Restaurant,Austrian Park,Parc,Architecture,Roger Viollet,Confident,-363.1721749,156.129805,,TRUE,1113
1114,NA,Islamic Doorway,Tunisian Park,Parc,Architecture,Roger Viollet,Confident,413.1994416,191.9972949,Duplicate of 948 ,TRUE,1114
1115,8195,Temple of Edfu,Egyptian Park,Parc,Architecture,Roger Viollet,Confident,234.2791221,142.1310256,Duplicate of 312,TRUE,1115
1116,NA,Temple of Edfu with People,Egyptian Park,Parc,Architecture People,Roger Viollet,Confident,244.1646516,149.0568325,,TRUE,1116
1118,NA,Prussian Pavillion,Prussian Park,Parc ,People Architecture,Roger Viollet,Confident,-261.3169914,65.65533538,Duplicate of 430,TRUE,1118
1119,NA,Awards Ceremony Audience,Palais de l'Industrie (External Venue),Palais de l'Industrie (External Venue),People,Roger Viollet,Offsite,543.9929491,-6.917909677,awards,TRUE,1119
1120,8297,Egyptian Mosque,Egyptian Park,Parc,Architecture,Roger Viollet,Confident,230.7187613,120.7815197,Dupe of 313 11 alt 422 13,TRUE,1120
1121,8123,Expo Riverside,Exposition Grounds,Parc,People Architecture Parc,Roger Viollet,Confident,567.246384,-289.3617686,,TRUE,1121
