archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include
25,,Italian Sculptures,Papal States (Rome) Fine Arts Section,Palais,Sculpture,Roger Viollet,Confident,33.95396172,45.13494173, ,True
60,8002,Panoramic View of the Expo,Exposition Grounds,Parc,UE1867,Getty Foundation,Confident,451.077056,-109.1882501,"Dupe of 60, 263",True
1045,8091,Colonies. French Section,French Section,Palais,Colonies,Getty Foundation,approximate,-123.7279177,-54.48140312,,True
315,13,Photography Pavillion,French Park,Parc,Architecture Parc,Bibliotheque National de France,Confident,418.4297618,-127.3242757,,True
384,47,Swedish Costumes,Swedish Section,Palais,Dolls,Bibliotheque National de France,Confident,-17.51403553,63.15087984,,True
945,64,Tunisian Exhibition,Tunisian Section,Palais,Animal,Bibliotheque National de France,Confident,48.62059117,71.46302051,,True
253,153,"""Norwegian Girls' Grooming""",Norwegian Section,Palais,Dolls,Bibliotheque National de France,Approximate,-23.08325144,76.5622262,,True
177,301,Photography Section,French Section,Palais,Photography,Bibliotheque National de France,Confident,82.77101065,-50.43509312,,True
247,414,English Photographs,Great Britain and Ireland,Palais,Photography,Bibliotheque National de France,approximate,106.4082389,28.23741358,,True
276,458,View of Chaillot from the Lighthouse,Exposition Grounds,Parc,River Architecture,Bibliotheque National de France,Confident,461.5589051,-109.9516032,,True
962,459,Chinese Theater,Chinese Park,Parc,Architecture,Bibliotheque National de France,Confident,345.4074097,216.9116123,,True
311,568,View from the Mexican Park,Mexican Park,Parc,Architecture People Park,Bibliotheque National de France,Confident,370.8682591,89.19582833,,True
629,633,Pavillion of M.Leplay General Commissioner,Exposition Grounds,Parc,Architecture,Bibliotheque National de France,Placed near Cl. 15 Chalet de ala Com. On le Imp. (presumably imerpial comissioner). ,97.32185192,-191.3219994,,True
1117,8204,L'amour Mendiant by Gambi,Papal States (Rome) Fine Arts Section,Palais,Fine Arts,Roger Viollet,Confident,27.99837298,44.60009947,Dupe of 367,True
158,368,Perspective of the Bavarian Gallery,Bavarian Section,Palais,Pianos,Brian May,Approximate,-123.8105511,44.21625345,,True
